category,raytrace
runtime,63.59092330932617
l2miss,9080037.98089172
r1b2,882739.5987261146
l3miss,2208024.3089171974
instructions,3564727582.1528664
cycles,1815425519.901274
stall_cycles,517323348.53503186
intra_coh,179301.3280254777
inter_coh,1.9394904458598725
wall-cycles,419875864.9872612
llc_occupancy,40048548.68789809
