category,LU
runtime,59.20147705078125
l2miss,263696713.28421053
r1b2,584768676.6771929
l3miss,87108607.3122807
instructions,13824589171.301754
cycles,8216132479.933333
stall_cycles,2844318434.449123
intra_coh,215673.19298245615
inter_coh,0.028070175438596492
wall_cycles,421158257.58947366
llc_size,41939130.83508772
local_mem,4158280585.431579
remote_mem,15493860.154385965
