category,nn
runtime,79.61172485351562
l2miss,21507651.89620253
r1b2,5525063.301265823
l3miss,194558.0
instructions,2422976259.4329114
cycles,5716385894.6075945
stall_cycles,4052076595.936709
intra_coh,12901446.584810127
inter_coh,2418.612658227848
llc_occupancy,0.0
wall-cycles,420784635.36455697
