category,bfs
runtime,28.518327474594116
l2miss,1641888.4444444445
r1b2,19595.02962962963
l3miss,846273.1111111111
instructions,1537363745.8074074
cycles,668628008.8222222
stall_cycles,141228972.15555555
intra_coh,66653.37037037036
inter_coh,0.674074074074074
wall_cycles,420097408.7037037
llc_size,37055510.755555555
local_mem,90448418.13333334
remote_mem,566522.3111111111
