category,particlefilter
runtime,78.08439254760742
l2miss,1892421869.2578125
l3miss,781396.8098958333
instructions,29723062949.791664
cycles,11968647735.755207
stall_cycles,1535074183.3203125
intra_coh,2694.4921875
inter_coh,0.078125
wall_cycles,2102764573.671875
llc_size,308002133.3333333
local_mem,53071360.0
remote_mem,628906.6666666666
