category,raytrace
runtime,74.42432641983032
l2miss,7544784.410958904
r1b2,794528.3890410959
l3miss,1884933.610958904
instructions,3067244025.1452055
cycles,1539110444.2547946
stall_cycles,422854151.6356164
intra_coh,122458.8493150685
inter_coh,1.4191780821917808
wall_cycles,419774634.13150686
llc_size,38280385.57808219
local_mem,135123381.6547945
remote_mem,270223.7808219178
