category,particlefilter
runtime,44.664957761764526
l2miss,687293064.3796296
r1b2,1042333255.800926
l3miss,252970.14814814815
instructions,11018017150.125
cycles,4793795346.222222
stall_cycles,750864075.3796296
intra_coh,1399.0740740740741
inter_coh,0.1388888888888889
wall_cycles,420695539.7083333
llc_size,37470814.81481481
local_mem,19271528.296296295
remote_mem,27003.25925925926
