category,DC
runtime,145.3383219242096
l2miss,153812695.48230395
l3miss,107096503.63636363
instructions,10109017126.481611
cycles,17842309523.29632
stall_cycles,11919424379.215822
intra_coh,116.0444136016655
inter_coh,4.802220680083275
wall_cycles,2101789874.9063153
llc_size,410046608.96599585
local_mem,8396285853.934767
remote_mem,10984215.628036086
