category,FT
runtime,26.703185081481934
l2miss,471304732.8943089
r1b2,1088108857.5609756
l3miss,129542988.42276423
instructions,16925919982.252033
cycles,7993470553.479674
stall_cycles,2367656471.5447154
intra_coh,11176.666666666666
inter_coh,0.13008130081300814
wall_cycles,422615332.902439
llc_size,41937711.8699187
local_mem,4316958087.284553
remote_mem,12823210.666666666
