category,dedup
runtime,7.077261209487915
l2miss,1407732.0
r1b2,11146.0
l3miss,789738.0
instructions,46604358.0
cycles,152043123.0
stall_cycles,113677332.0
intra_coh,0.0
inter_coh,16.0
wall-cycles,419519428.0
llc_occupancy,41746432.0
