category,CG
runtime,45.72416973114014
l2miss,322521267.3660714
r1b2,6183766.174107143
LLC-load-misses,59818859.83928572
LLC-store-misses,164670.13392857142
instructions,3462983044.5
cycles,8232382422.991072
stall_cycles,6234026466.053572
intra_coh,198960.7544642857
inter_coh,0.017857142857142856
wall-cycles,421172466.21875
llc_occupancy,2224713.1428571427
