l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy,local_mem,remote_mem
73502715,314613085,57715811,2414176999,3277996329,2173901560,24960,0,419886890,2097152,6208946176,0
73485563,336385396,55394025,2213180419,3210756604,2152231247,19487,0,420105492,2097152,6046941184,10289152
70347746,292340899,53661314,2279323572,3342130906,2275325852,25524,0,419832219,2097152,5768871936,0
79579147,354365219,55098170,2166530816,3218475222,2163146024,22455,0,419951838,2097152,6202720256,52166656
75990448,328415750,58171032,2695033638,3259992441,2117917853,26063,0,419893397,2097152,6397165568,0
71834833,314940838,56450904,2223925565,3304163711,2227031574,20932,0,419898081,2097152,6105333760,0
75608646,362553088,54976348,2511994130,3282894670,2131692233,27382,0,420170835,2097152,6157697024,34537472
71766585,270207259,52838743,1891506530,3242319185,2254717724,21022,0,420077638,2097152,5840044032,0
80181686,375979456,58867954,2883423868,3292027533,2089317400,24880,0,419978025,2097152,6728843264,7274496
70597459,306147062,55755438,2222591656,3257568362,2193211176,22010,0,419906087,2097152,6006308864,0
82656417,422454095,56971094,2452586527,3288978681,2168195877,22533,0,419798345,2097152,6539837440,0
60245215,143422535,52451396,2008742130,3218969990,2186751389,25781,0,420141309,2097152,5605818368,25296896
90998901,454925892,60635886,2825700029,3311220415,2104409546,25623,0,419661407,2097152,6833111040,9961472
70612013,302801415,56083306,2271031106,3281844596,2197343648,23401,0,419907638,2097152,6088753152,0
82213336,427467403,58234369,2238566510,3269787847,2205928538,18243,0,419975426,2097152,6499532800,33619968
57632094,134810368,50191284,2200452781,3268703158,2208560151,26206,0,419757594,2097152,4949344256,0
88740692,409420135,59084626,2423760254,3317338053,2195396228,28734,0,420099637,2097152,6760431616,13631488
74068541,319901307,56824358,2452032287,3301183689,2190020361,23193,0,420134959,2097152,6221856768,0
72722356,322284853,56624028,2208368699,3300579754,2244889336,21736,0,420066999,2097152,6126043136,0
72420757,300323415,53431493,2392635448,3282836059,2173284204,26021,0,420090168,2097152,5919473664,14745600
77596324,320743479,54498595,2027154408,3160916893,2134662534,17636,0,419951460,2097152,5919604736,14090240
78233281,342510538,58412213,2737242358,3308774751,2121749575,28088,0,420071871,2097152,6592921600,0
71541445,316667065,55706364,2229043241,3249868637,2195525251,20908,0,419999575,2097152,6028001280,393216
78515615,400771019,54742311,2535390056,3283496326,2140188426,28461,0,419997471,2097152,6299123712,13369344
58068749,153694275,50412120,1603237963,3233446594,2365465231,17469,0,419953554,2097152,5036900352,7536640
89610735,444047350,60531613,2887629673,3260163196,2043368677,22444,0,419924503,2097152,6960644096,0
70671355,303434046,56365837,2290204216,3305254972,2212296441,22076,0,419990194,2097152,5929762816,11927552
83943851,452259791,58152877,2225172046,3267500647,2220394312,18408,0,420105104,2097152,6561595392,0
56495629,124671538,49062200,2281146860,3234317285,2155922612,30305,0,419843364,2097152,5343412224,37486592
88295633,415349807,58619900,2491072229,3307475917,2179080754,24664,0,419968714,2097152,6730153984,3670016
72714568,317436045,57104272,2467788278,3295730489,2172167205,23748,0,419952357,2097152,6221004800,1572864
72804352,337740302,55401641,2253752907,3200147996,2144824327,19261,0,419790946,2097152,6012403712,12124160
73347577,291109352,54034891,2342374144,3341712599,2247441742,26065,0,420028982,2097152,5886050304,0
80652762,361932203,55283379,2098109149,3262272449,2229332365,20694,0,420014218,2097152,6100156416,14942208
76862501,336683447,58539430,2662950327,3327580151,2171797315,25991,0,420114638,2097152,6484328448,0
72581626,322787034,56822365,2273198643,3288901590,2209280150,22844,0,419822992,2097152,6106382336,5373952
75772347,330632505,55251523,2479157453,3258689462,2137621622,27352,2,420134474,2097152,6189219840,23003136
75456593,269831180,55873960,1942818725,3172717827,2142910494,20070,0,420010173,2097152,5791416320,0
79950786,363411607,58783948,2928114447,3273615661,2067054179,25492,0,419889355,2097152,6662127616,33095680
70878243,316274608,56027212,2275223583,3246736849,2181065348,20815,0,419892114,2097152,5962334208,0
81498385,427657343,56319932,2453974409,3258264470,2148857642,25060,0,420065458,2097152,6490619904,13697024
60811489,149993776,52610142,1982652428,3222945993,2195720743,24979,0,420122567,2097152,5366611968,6488064
88854533,438410665,59603276,2827431097,3267826708,2061747187,24459,0,419861402,2097152,6800605184,16187392
70944057,304426402,56052498,2288010161,3287614909,2208311327,22500,0,419847236,2097152,6070140928,0
83803078,448394124,58738090,2317284370,3297734358,2217547434,17466,0,419980051,2097152,6610550784,37093376
58270352,137201226,50799809,2356614639,3323506524,2243549462,30108,0,419916991,2097152,5413797888,0
87311706,415027073,58722384,2510011545,3313071787,2177478743,24465,0,420176326,2097152,6723993600,3538944
73198522,316087036,57276209,2475790874,3293076353,2169369052,21944,0,419953614,2097152,6131744768,0
74595894,353127988,55593343,2243682309,3231334529,2167246391,19396,0,420056382,2097152,6110904320,9240576
70677730,254568812,53420541,2407371710,3341899013,2228468297,26889,0,419752234,2097152,6058082304,0
80354286,369019083,54905488,2072410164,3234192282,2217418098,20641,0,420011201,2097152,5968494592,33095680
76084783,329119251,58199847,2646062088,3282859399,2131385278,26189,0,419918191,2097152,6469910528,0
71234696,311236462,55796883,2203341348,3252421573,2196500030,21220,0,419827171,2097152,6024200192,0
75290045,335377803,54135195,2483949972,3265782921,2140851770,28049,0,419962990,2097152,6270746624,5308416
72787396,275936371,52839677,1881386102,3236837481,2251864972,20880,0,420027818,2097152,5615321088,2228224
76856525,361057956,56610277,2845919840,3249938065,2069730485,27225,0,420031978,2097152,6510739456,8912896
71321881,318109486,55687115,2251777380,3240890893,2169788448,21400,0,420179423,2097152,6035734528,8978432
81229209,424882670,56856586,2422800857,3282153970,2180656503,21641,0,419822217,2097152,6431047680,0
57281352,128711645,51428424,1853598504,3173184237,2186527662,22397,0,419991766,2097152,5338038272,12648448
