l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy,local_mem,remote_mem
27436479,250277,20456825,1473189429,3310421304,2494845476,4897742,0,419918316,39845888,1309933568,2031616
32488345,313187,23638047,1713545620,3324682308,2369402066,5912359,0,419727985,39845888,1529085952,393216
25011828,344225,18354293,1329606968,3326429235,2571474478,4642757,0,419793207,39845888,1190658048,0
27145867,275729,19925661,1441584670,3318405596,2510234495,5026041,0,419768831,39845888,1286537216,1310720
25158839,180531,18708584,1355819070,3328410145,2571238512,4438719,0,419789159,39845888,1207959552,0
33739966,646081,24246543,1745788971,3305875692,2340523597,6333972,0,420018106,39845888,1566965760,917504
27312509,299426,19983320,1446203963,3324669148,2508625644,4978318,0,419858028,39845888,1294008320,0
26252378,384656,19267581,1388164243,3308024899,2532065979,4851716,0,419776660,39845888,1240924160,0
26435771,282479,19460586,1407853534,3307755287,2522174801,4781262,0,419812979,39845888,1251082240,1179648
29615375,335124,21576987,1567797685,3299475508,2428505805,5330188,0,419936165,39845888,1402863616,4653056
28940608,156379,21350299,1567148727,3306474959,2430448541,5048568,0,419727454,39845888,1394016256,0
26472801,561431,19175093,1380922333,3311234519,2538602874,5076198,0,419710760,39845888,1229651968,2621440
27061068,383988,19794834,1429013631,3288911359,2488548955,4948014,0,419828573,39845888,1286602752,0
27587802,334117,20206631,1461830708,3326695956,2507461877,5058267,0,419630781,39845888,1313144832,3211264
32217414,302951,23675789,1709246420,3297123179,2353250670,5826734,0,419849112,39845888,1521156096,0
25000977,291790,18338019,1331246901,3279110556,2529435774,4408590,0,419780494,39845888,1192034304,3080192
26634044,290992,19744068,1428358118,3325559471,2530549164,4804133,0,419945750,39845888,1266483200,1703936
26589745,371179,19171576,1379597961,3298567004,2519955308,4937020,0,419764430,39845888,1253769216,1376256
32751051,589560,23764059,1713823810,3314548299,2359665741,6048442,0,419890302,39845888,1535049728,0
25944517,310583,19083673,1381420181,3315594348,2533798861,4717056,0,419772006,39845888,1229520896,0
27601484,562354,19916345,1438447679,3305209184,2508515069,5260164,0,419841349,39845888,1292566528,6356992
26528231,332146,19449285,1407491347,3317957350,2528574009,4930993,0,419771870,39845888,1251213312,0
30253346,316747,22153353,1601147105,3324954373,2437266724,5620629,0,419697332,39845888,1431109632,4390912
28638011,541673,21129333,1519703439,3303473768,2451585085,5135353,0,419981665,39845888,1363738624,0
27169240,447050,19626323,1412737248,3298566866,2514565910,5142641,0,419830700,39845888,1270546432,524288
27768489,762068,19873063,1422137696,3298336503,2506396221,5469141,0,419742834,39845888,1277362176,1441792
30004959,673680,21499307,1549059527,3307474659,2449125137,5855859,2,419743550,39845888,1394802688,524288
32080394,661487,22800754,1633913953,3245677995,2334145031,6258605,0,419749531,39845888,1469579264,0
26436030,573724,18782695,1362511000,3253838505,2501860919,5097887,0,420075571,39780352,1224605696,4325376
28458805,912698,19931670,1431235415,3298681392,2499468915,5716449,0,419671113,39845888,1292238848,0
27917001,609520,20183536,1448989953,3200971999,2396467941,5326869,0,420000067,39845888,1308622848,4390912
33408305,679674,24031928,1729014111,3306400957,2343460874,6486454,0,419695852,39845888,1558315008,0
26570247,625334,19021606,1372843349,3290348618,2525826783,5195586,0,419854480,39845888,1217921024,0
28415033,847765,20074938,1452212756,3282685655,2481478917,5677198,0,419783264,39845888,1308098560,3145728
26729920,524597,19109753,1389648317,3264236388,2494302072,5176024,0,419830267,39845888,1227030528,0
33764265,826056,23568237,1699461573,3306621995,2358875000,6702439,0,419894110,39845888,1555628032,5046272
29156622,736429,20896501,1501784094,3288941992,2459394080,5774566,0,419871969,39845888,1338310656,0
27475073,904514,19648391,1418509935,3286978958,2507965618,5483830,0,419739215,39845888,1267793920,1507328
27812975,692879,19682268,1419614002,3274521458,2482620672,5353155,0,419831413,39845888,1277952000,0
22073189,35179,21140503,1546666078,3323461691,2484574413,81171,0,419920218,39845888,1370161152,4980736
