category,CG
runtime,46.16176509857178
l2miss,328398903.1318182
r1b2,5999953.463636364
l3miss,62329459.38181818
instructions,3471016595.4636364
cycles,8238191025.863636
stall_cycles,6207158703.586364
intra_coh,203241.53181818183
inter_coh,0.01818181818181818
wall_cycles,421375493.75454545
llc_size,41934996.945454545
local_mem,4025306018.909091
remote_mem,9063033.018181818
