category,LU
runtime,59.187254428863525
l2miss,263238621.99298245
r1b2,566312038.0666667
l3miss,87222560.92280702
instructions,13834526973.768421
cycles,8215404801.505263
stall_cycles,2842731160.926316
intra_coh,236464.5298245614
inter_coh,0.03508771929824561
wall_cycles,421010826.5263158
llc_size,41940970.44210526
local_mem,4134816627.8736844
remote_mem,18639358.203508772
