category,CG
runtime,79.53188586235046
l2miss,923394434.6360153
l3miss,175056496.69220948
instructions,9646597922.464878
cycles,20739625762.707535
stall_cycles,15122057587.943806
intra_coh,430597.816091954
inter_coh,0.02554278416347382
wall_cycles,2103077867.8799489
llc_size,418785920.8173691
local_mem,11272787933.997444
remote_mem,21157330.881226055
