category,BT
runtime,93.06318306922913
l2miss,88577931.81497797
r1b2,874677457.9493392
l3miss,41789676.25330397
instructions,14613985447.40088
cycles,8181706749.870044
stall_cycles,2997557352.123348
intra_coh,4819.581497797357
inter_coh,0.6079295154185022
wall_cycles,420682938.56828195
llc_size,41937265.9030837
local_mem,3556928579.6651983
remote_mem,20108003.8061674
