category,ferret
runtime,26.6911883354187
l2miss,58547278.45736434
r1b2,54068408.34883721
LLC-load-misses,3331695.11627907
LLC-store-misses,311600.41085271316
instructions,12833909974.077518
cycles,8188899415.054263
stall_cycles,2087334704.9224806
intra_coh,99975.03875968992
inter_coh,0.06201550387596899
wall-cycles,423359895.62015504
llc_occupancy,41829241.05426357
