category,swaptions,kmeans
runtime,59.35705256462097,59.714497089385986
l2miss,1070343.622857143,8771370.55801105
r1b2,31257.605714285713,3733273.906077348
l3miss,7997.565714285714,998390.591160221
instructions,9892764320.377142,1207082657.0331492
cycles,4707166725.525714,831020129.6961325
stall_cycles,588838183.8285714,312539087.4585635
intra_coh,643304.5714285715,5481007.193370165
inter_coh,3003.12,709.0828729281768
llc_occupancy,20230.870114285713,26888534.79646409
wall-cycles,705558581.8628571,648230319.8839779
