l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
29519874,108930,21,4,3279896139,8168302763,5728359939,17670656,0,420730453,40566784
29186362,78030,17,4,3283190738,8180406445,5734097585,17409775,0,420784161,40566784
29252503,112452,20,2,3284724302,8182845269,5735835359,17497734,0,420879848,40566784
29397166,52167,28,0,3277929358,8170070347,5733983813,17668823,0,420629092,40697856
29284949,66697,23,10,3288951553,8188925215,5741157293,17590643,0,420957437,40501248
29182601,97430,32,0,3282352796,8172206947,5732297566,17648968,0,421094469,40435712
29417546,139313,28,2,3285385812,8184256104,5739220568,17650242,0,420785929,40828928
29235498,78830,36,5,3281969442,8174800250,5733034157,17521031,0,420758401,40632320
30509543,123677,25,6,3262893798,8190229273,5774687287,18211680,0,420760420,40566784
30328017,78562,22,5,3266872080,8183983860,5768076895,18163772,0,420632339,40697856
29632035,111325,17,6,3270388984,8179393314,5750709219,17862844,0,421039843,40828928
29385882,105810,43,5,3288204611,8186462145,5739199713,17648295,0,420817977,40632320
29079329,70512,14,2,3280021756,8166315573,5728127574,17255872,0,420595121,40566784
29204689,114206,28,2,3285144516,8181633302,5735541272,17351364,0,420897322,40501248
29785882,81168,22,5,3277114753,8176663681,5743620119,17870922,0,420632957,40697856
29335396,77956,27,4,3281822018,8173246184,5732785158,17524754,0,420878513,40435712
29209007,76061,28,5,3289659968,8183776564,5734628215,17570929,0,420739684,40566784
29271992,102794,29,2,3275948357,8167488160,5730556302,17519553,0,420759238,40632320
29129709,103972,27,9,3286165766,8182728523,5738836499,17421601,0,420760174,40697856
29597839,136939,21,2,3271557080,8165887309,5736384801,17659732,0,420712917,40697856
29361668,128055,136,0,3278027957,8177071707,5737851500,17721498,0,420738639,40501248
29301891,97776,25,7,3284756694,8178418456,5733853202,17605468,0,420581028,40566784
29262350,103463,30,6,3275960023,8167913412,5731671149,17505664,0,420715680,40632320
29319777,113549,28,5,3287006446,8184287783,5741930363,17551214,0,420808799,40697856
29225945,69692,23,4,3282428637,8164527028,5723795804,17531938,0,420666052,40632320
29658725,81466,33,2,3273505343,8179827566,5751930729,17875743,4,420910056,40763392
29313814,90455,31,5,3281220689,8177487866,5735901773,17629215,0,420938995,40697856
29384043,96211,23,11,3281309589,8174472958,5731890829,17625367,0,420757847,40697856
29429074,144315,19,5,3283713355,8181489217,5736872759,17527540,0,420836310,40763392
29193728,89882,15,2,3279430135,8166805705,5724607603,17395168,0,420988290,40763392
29364588,42717,25,5,3286351798,8183403365,5741881053,17696718,0,420571965,40763392
29221611,50040,18,7,3284824750,8168250629,5724164290,17452338,0,420737826,40632320
29318403,153652,36,4,3281587211,8180732171,5738823294,17579941,0,420793365,40632320
29211100,67903,27,5,3285396264,8176077165,5729882659,17522203,0,420952386,40632320
29272397,99588,27,4,3281501673,8176218279,5734024673,17539603,0,420857378,40632320
29420257,120723,31,10,3278865706,8184995958,5745247064,17734496,0,420741379,40566784
29504740,133833,29,4,3274883078,8170133877,5737692115,17610162,0,420952649,40632320
30336902,95136,49,12,3264815247,8200756134,5787480291,18295102,0,420738759,40632320
29375522,136106,24,5,3277452640,8166807025,5729292729,17579008,0,420828368,40632320
29330739,77166,40,4,3285055408,8187998332,5743247208,17613713,0,421126879,40697856
29882202,167954,27,12,3272884204,8177438044,5746668214,17819645,0,420442894,40632320
30200624,48488,28,2,3261560241,8176742655,5764200496,18174897,0,420438195,40697856
30282465,54688,35,2,3269303422,8194410666,5779508569,18144167,0,420471600,40697856
29381771,105497,16,4,3273620997,8164697908,5732206896,17478153,0,420753466,40566784
29378969,112354,33,2,3283159715,8183488093,5738881928,17579752,0,420875441,40697856
29345916,85622,10,2,3284673868,8177131309,5733416574,17536400,0,420904077,40632320
29562274,74214,44,4,3279164712,8177307523,5741046071,17641189,0,420712909,40763392
29145123,77456,27,2,3284756669,8179030835,5733504808,17522481,0,420941234,40501248
29358233,82178,22,8,3280231832,8173926542,5733089386,17560987,0,421084148,40501248
29332256,88040,29,7,3286565757,8187657219,5741192166,17644213,0,420942649,40501248
29328939,68054,16,2,3282588877,8170251532,5725797056,17496111,0,420707974,40632320
29399795,111239,36,4,3277797790,8178655377,5738974644,17600808,0,420729269,40566784
29348388,74850,27,9,3278722036,8173515181,5739757251,17633297,0,420831880,40501248
29383942,106157,21,4,3275334429,8178041141,5741898508,17728313,0,421030235,40435712
29145012,75637,28,5,3290140011,8186217199,5736380532,17480597,0,420758766,40501248
29383785,93978,60,8,3276664804,8161541628,5731830588,17551014,0,420581806,40501248
29221773,91968,35,9,3290760986,8183015647,5736554533,17402567,0,420757193,40697856
29434155,59303,24,4,3278580803,8169041994,5734108557,17662815,0,420873739,40697856
29428446,101464,27,4,3283523254,8187573412,5743344087,17729201,0,421053213,40501248
29204097,82484,34,5,3284575309,8179285188,5733963032,17466993,0,420710493,40763392
29288451,116693,49,2,3275482468,8175607159,5739155822,17561027,0,421085736,40697856
29112814,83321,9,5,3292414347,8187542069,5736025009,17409109,2,421004050,40435712
29557022,77804,20,9,3277053906,8169074538,5737878553,17507313,0,420376736,40697856
29144096,66266,28,5,3283729716,8182764411,5739686032,17508000,0,421061428,40763392
29044189,49243,43,5,3287943738,8175942706,5728716833,17396560,0,420753227,40697856
29200211,68257,21,2,3283307315,8176720601,5731112672,17499723,0,420804151,40632320
29163227,60782,36,7,3285923491,8180208771,5733558754,17606713,0,420915502,40763392
29093096,45341,22,0,3284106391,8171366227,5729207970,17367160,0,420747036,40566784
29444918,68512,32,2,3279439131,8183346734,5744036929,17725979,0,420845255,40566784
29280467,113899,25,2,3279153632,8167417412,5724693262,17477707,0,420571942,40566784
29343451,122867,32,13,3278643748,8182050343,5743409843,17449912,0,420925470,40697856
29325661,76271,22,7,3283326149,8171718637,5730448979,17638010,0,420543240,40763392
29128754,41787,21,4,3284336901,8177023409,5733953787,17507088,0,421076819,40763392
