category,vips
runtime,7.329301595687866
l2miss,55712543.0
r1b2,5521886.484848484
l3miss,15893364.363636363
instructions,22617966282.575756
cycles,7478684226.242424
stall_cycles,434179975.3636364
intra_coh,830226.0606060605
inter_coh,5.545454545454546
wall-cycles,425660601.8181818
llc_occupancy,234340.84848484848
