category,MG
runtime,13.393112897872925
l2miss,169383362.63157895
r1b2,1998565870.3859649
l3miss,88003885.19298245
instructions,9729169105.421053
cycles,8108934425.929825
stall_cycles,4123321205.368421
intra_coh,554938.0877192982
inter_coh,1.9298245614035088
wall_cycles,423062337.84210527
llc_size,41940740.491228074
local_mem,9714352990.31579
remote_mem,10262707.649122806
