category,bodytrack
runtime,23.141758680343628
l2miss,72179588.5909091
l3miss,2526637.0454545454
instructions,35325532071.045456
cycles,15642767363.40909
stall_cycles,1551658126.1818182
intra_coh,6442147.818181818
inter_coh,2.772727272727273
wall_cycles,2106100214.6818182
llc_size,292820805.8181818
local_mem,104300544.0
remote_mem,1280930.9090909092
