category,bodytrack
runtime,16.550631761550903
l2miss,22712446.949367087
r1b2,2743336.8481012657
l3miss,725676.9873417722
instructions,10000595979.202532
cycles,4498482173.544304
stall_cycles,480529861.0
intra_coh,2426361.240506329
inter_coh,3779.9493670886077
wall-cycles,422446224.6962025
llc_occupancy,14029681.41772152
