category,sjeng
runtime,667.2388956546783
l2miss,393794.4899390244
r1b2,285589.2798780488
l3miss,177926.95548780487
instructions,676295526.3539634
cycles,419321006.65060973
stall_cycles,110507685.95
intra_coh,42.78475609756097
inter_coh,428.6524390243902
llc_occupancy,29395555.157838415
wall-cycles,420472577.78597564
