category,bfs
runtime,27.675642013549805
l2miss,1891829.7333333334
r1b2,22077.59259259259
LLC-load-misses,256129.76296296297
LLC-store-misses,256464.53333333333
instructions,1551890428.3407407
cycles,794932640.1259259
stall_cycles,257371424.5111111
intra_coh,184410.3925925926
inter_coh,0.3851851851851852
wall-cycles,420288917.9851852
llc_occupancy,39699766.992592596
