category,fluidanimate,SP
runtime,73.23918080329895,135.09105372428894
l2miss,60492703.356353596,771680981.8413174
l3miss,52399990.55248619,388880348.6152694
instructions,27104349891.698895,30155449258.20359
cycles,19282656680.096687,20659783660.4491
stall_cycles,7307227075.566298,8850424267.193113
intra_coh,5787861.643646408,13623.031437125748
inter_coh,0.511049723756906,0.02245508982035928
wall_cycles,2099572407.0165744,2099361353.7425148
llc_size,21787099.226519335,197342827.30538923
local_mem,3593735354.6961327,28079377475.4491
remote_mem,11445264.97237569,74060094.8502994
