l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
44321668,68457,29643419,1468288,4048323251,6644018888,4378589406,827,0,428454340,41549824
50992069,37345,30293131,1922749,4037628111,6868856156,4474257952,533,5,421739304,40304640
52903592,59720,29868015,2042971,4144151374,6839061099,4435139466,527,0,419861706,40370176
52477839,60201,30761562,1939227,3854591658,6788516560,4501870020,441,2,419913669,40763392
53543614,46657,31255209,2153248,4212422047,7000009575,4522618029,62,2,419985882,40697856
59161964,60865,32914180,2540667,4272156851,7471505862,4894911898,19,10,420063675,40501248
58663275,43511,34718309,2429492,4327341276,7612460675,4980095420,4,6,419971083,41025536
59359696,69324,35543865,2369140,4195137620,7632393495,5079350192,9,0,419831165,41746432
58677484,85863,35450595,2318728,4265972425,7648114585,5077396353,9,2,427718744,41877504
58955457,76612,36135289,2290001,4154132715,7654582263,5121650945,6,7,418971688,41746432
58777201,24773,36097734,2270418,4154796377,7635744187,5107102625,11,14,413101387,40697856
58292015,88410,35504618,2253311,4111895876,7521102930,5022015857,4,11,419871336,40501248
60814153,1128,37436199,2410976,3968828733,7748943022,5257156314,25,13,449205337,40370176
58685987,232,36678304,2157119,3695382011,7512466151,5175429515,14,5,414712504,41746432
58028303,1003,36989737,2163994,3713465706,7566118438,5203108407,15,2,431726848,41877504
58267318,1072,36894358,2132785,3689309335,7539434303,5203075331,12,4,410614338,41615360
57752511,1252,37053968,2114807,3680521457,7559665587,5217226810,2,4,427369438,41811968
60173165,1015,37302148,2309945,3808121043,7706831703,5279364609,7,11,419063644,41877504
59805041,817,37680435,2260794,3776446699,7751614860,5336485611,5,7,418983236,41746432
59654281,644,37938685,2250741,3760953804,7741194356,5333321007,2,5,419049542,41811968
60311838,1502,38137166,2233181,3766957613,7781055356,5375758919,11,7,416986906,41615360
59284686,1239,38056861,2217712,3742381808,7750516528,5353441729,11,9,418457180,41746432
59967195,1211,38251005,2207535,3741743781,7758073069,5369070497,14,12,421616200,41746432
59454524,1125,38281752,2186416,3721300354,7760050306,5368503719,7,11,418990536,41222144
61596106,664,38740466,2314265,3819654001,7878387098,5413140284,9,5,427116024,41877504
62432259,998,39274677,2168947,3819299069,7930159729,5453427619,4,7,414330044,41811968
61733251,436,39015790,2179787,3821827299,7898537255,5429206706,4,7,424012980,41943040
62133950,667,39124296,2144653,3796990303,7897037783,5443359405,7,9,413810428,41811968
61811459,911,39239039,2148399,3803707026,7908443814,5442185908,6,9,424204268,41877504
62158710,1310,39097712,2137899,3796792747,7903038777,5455422710,7,4,418999696,41811968
61728555,1534,39312664,2123688,3793632458,7903760209,5450303309,2,6,419025640,41746432
62593202,278,39562787,2133365,3846770851,7955457051,5467231159,7,11,427399560,41943040
62833237,223,39578615,2110252,3870112049,7990061568,5501892404,5,7,410628344,41811968
62604427,24,39723023,2123733,3863233285,7997815683,5497065953,4,11,426119588,41943040
62966819,69,39790997,2080740,3853178496,7996982882,5511322841,12,9,416255752,41877504
62312362,1375,39884967,2103407,3833913299,7978379526,5490987606,4,4,417392708,41811968
62746333,258,39655973,2079874,3830570899,7987059726,5521092259,9,4,418887576,41811968
62085431,1274,39915212,2075373,3804918803,7974269766,5504301714,5,4,789119280,41025536
61934779,1232,39554066,2072399,3781567090,7926792925,5487716919,4,4,53142924,40697856
61461239,904,39652712,2051650,3743346105,7891293688,5472039782,9,5,420629768,41811968
61697491,678,39607475,2058130,3754272856,7915485882,5482446606,7,4,415930237,41811968
61855521,723,39395755,2008467,3770773663,7907779327,5470324589,5,11,422075055,41811968
61526994,736,39511300,2034804,3769544228,7906930993,5467157555,2,0,419026608,41811968
61825060,933,39381962,2011395,3777217241,7909266403,5480698464,4,5,427385781,41943040
61631668,715,39636460,2018145,3752444991,7910832437,5473506976,5,4,412349045,41811968
62039748,1239,39586643,2016090,3791620585,7925865375,5477793146,2,9,419594053,41156608
61657994,682,39467563,2003657,3761783749,7914849818,5486263388,13,5,419923130,41353216
61738622,860,39592954,2015884,3766705532,7908236862,5464778056,2,0,424188539,41156608
61677491,1042,39505140,1978814,3762048912,7915849433,5483052086,5,0,426818564,41943040
61595200,816,39627876,2008001,3749518957,7910991691,5469513164,2,2,411232929,41811968
61755006,927,39548238,1976608,3767585011,7913547854,5486092000,7,2,419005590,41811968
61414290,746,39667286,1993067,3741065982,7914276354,5485086447,2,2,419066016,41811968
61704606,1143,39604336,1981213,3759979094,7907198362,5472327734,4,2,426549212,41943040
61481274,822,39559260,1970998,3740924235,7914946821,5497848339,4,2,411436172,41746432
61390768,927,39650873,1975157,3728362585,7890287093,5462507614,9,0,426026785,41877504
61610339,1307,39567852,1953271,3753906902,7911768051,5492600712,12,0,413362400,41811968
61330644,783,39702066,1988207,3738477349,7916649659,5489935216,0,2,424797340,41877504
61437432,1135,39565626,1949321,3750447651,7903292009,5485296146,11,2,414894312,41746432
61106716,901,39605216,1965337,3736070872,7914296391,5497919217,9,4,422432340,41811968
61504627,758,39725670,1951456,3740624347,7925603914,5502192045,5,2,429358364,41287680
61563822,1222,39810016,1958773,3745511856,7937240954,5515187059,4,0,410645956,41877504
61214548,1219,39544843,1958459,3740021476,7898013841,5476641814,5,5,419013923,41811968
59320300,1477,38792063,1965954,3544259126,7662807789,5370008724,5,0,419266553,40501248
55099051,916,37293561,1912907,3341286037,7272854540,5116907812,195,4,418884045,40763392
55750985,95,37296329,1831093,3373684985,7345187253,5181110696,23,0,419871390,40501248
55355868,89,37494443,1846870,3376633703,7365625156,5190168782,7,4,419954877,40632320
55795130,307,37392634,1826224,3362155824,7343015550,5185862163,9,0,419959710,40566784
55057588,177,37348909,1833259,3371304959,7368245862,5200103347,0,0,419976975,40501248
55550568,194,37574030,1824474,3346333326,7340639618,5186155752,5,7,420002988,40763392
