category,freqmine
runtime,42.34125232696533
l2miss,19947326.756097563
r1b2,715698.668292683
l3miss,5366218.951219512
instructions,12036759218.4
cycles,6676000235.868293
stall_cycles,1695319363.0682926
intra_coh,3136509.5219512195
inter_coh,263780.4292682927
wall_cycles,420057589.81463414
llc_size,42139328.31219512
local_mem,264283350.7902439
remote_mem,131266689.87317073
