category,kmeans
runtime,38.6247124671936
l2miss,11668254.415789474
r1b2,3156108.7578947367
l3miss,1228396.847368421
instructions,1373513458.1210527
cycles,1015277808.3789474
stall_cycles,416625708.29473686
intra_coh,7494114.731578947
inter_coh,706.6315789473684
llc_occupancy,29097944.123631578
wall-cycles,420577121.7631579
