category,facesim
runtime,52.93097376823425
l2miss,54072611.50384615
r1b2,14228158.715384616
LLC-load-misses,1414438.9
LLC-store-misses,749214.6884615384
instructions,8916193706.680769
cycles,4586374890.234615
stall_cycles,1034324647.7730769
intra_coh,2143970.096153846
inter_coh,0.3423076923076923
wall-cycles,421032992.2
llc_occupancy,4779590.892307692
