category,FT
runtime,48.74498915672302
l2miss,1146137339.7473683
l3miss,372150311.28421056
instructions,43744270265.494736
cycles,19525199732.884212
stall_cycles,5013506835.2421055
intra_coh,13675.494736842105
inter_coh,0.021052631578947368
wall_cycles,2105677049.8736844
llc_size,415189186.0210526
local_mem,10572027451.28421
remote_mem,35706772.21052632
