category,streamcluster
runtime,57.02144265174866
l2miss,70304734.33807829
r1b2,734560.9644128114
LLC-load-misses,38281036.51957295
LLC-store-misses,35592.69039145907
instructions,4098300890.758007
cycles,7835267434.807829
stall_cycles,5636333467.266904
intra_coh,11485104.5658363
inter_coh,0.07829181494661921
wall-cycles,420346120.23487544
llc_occupancy,41917385.33807829
