category,canneal
runtime,40.75279426574707
l2miss,15815617.949238578
r1b2,106908.01522842639
l3miss,10592898.969543148
instructions,655480415.609137
cycles,2674698533.2690353
stall_cycles,2220095577.0609136
intra_coh,139217.78680203046
inter_coh,0.0
wall_cycles,419992081.28426397
llc_size,41172576.162436545
local_mem,821248582.1725888
remote_mem,680975.5939086295
