category,streamcluster
runtime,78.30772876739502
l2miss,45824181.27835052
r1b2,816218.719072165
l3miss,38385155.15463918
instructions,2833531812.7783504
cycles,4744973880.082474
stall_cycles,3167832315.231959
intra_coh,4732365.546391753
inter_coh,1557.1262886597938
llc_occupancy,31391488.80734536
wall-cycles,420785510.94072163
