category,MG
runtime,12.175330877304077
l2miss,167996623.6491228
r1b2,1976039156.0175438
LLC-load-misses,8722623.736842105
LLC-store-misses,1756611.4385964912
instructions,9779332061.45614
cycles,8198217525.824561
stall_cycles,4205990822.5614033
intra_coh,130556.0701754386
inter_coh,0.14035087719298245
wall-cycles,422207362.98245615
llc_occupancy,3313592.1403508773
