category,canneal,streamcluster
runtime,110.6470046043396,110.77255272865295
l2miss,6852649.25477707,40438445.34076433
r1b2,90965.00636942674,824601.3726114649
l3miss,3160155.652866242,33704253.20700637
instructions,309760244.433121,2587552532.799363
cycles,787876891.27707,4206446856.933121
stall_cycles,593851772.2070063,2782493341.6719747
intra_coh,39504.388535031845,4279276.404458599
inter_coh,555.9108280254777,1868.5191082802548
llc_occupancy,4617662.4437579615,26809234.44745223
wall-cycles,736467041.5191083,737134594.1273885
