category,FT
runtime,26.547378301620483
l2miss,471696391.6885246
r1b2,1088441723.4590163
l3miss,130347693.86885247
instructions,17061547246.245901
cycles,8055167325.9754095
stall_cycles,2384422355.9016395
intra_coh,12738.811475409837
inter_coh,0.19672131147540983
wall_cycles,422985934.57377046
llc_size,41934982.295081966
local_mem,4362277602.622951
remote_mem,15820497.836065574
