category,DC
runtime,93.58203625679016
l2miss,45704378.3318872
r1b2,119832.58568329718
LLC-load-misses,31352447.997830804
LLC-store-misses,1575840.3470715836
instructions,3122603211.1670284
cycles,6402933270.707158
stall_cycles,4448157480.223428
intra_coh,30.032537960954446
inter_coh,3.7440347071583515
wall-cycles,422156906.2581345
llc_occupancy,41097469.22342733
