category,ferret
runtime,44.87285041809082
l2miss,17017529.615384616
r1b2,10752391.832579186
l3miss,3747034.1628959277
instructions,7819235870.723982
cycles,4964237862.959276
stall_cycles,1185837932.4841628
intra_coh,89468.01357466064
inter_coh,5251.058823529412
llc_occupancy,10987753.346561085
wall-cycles,421189947.45701355
