category,x264
runtime,7.954592704772949
l2miss,70893260.91666667
r1b2,19497724.916666668
LLC-load-misses,12232790.777777778
LLC-store-misses,511536.27777777775
instructions,12155625562.5
cycles,6828794226.555555
stall_cycles,1580207464.2777777
intra_coh,169226.16666666666
inter_coh,0.2777777777777778
wall-cycles,422705887.6944444
llc_occupancy,41524337.777777776
