category,UA
runtime,164.05900764465332
l2miss,276630224.15384614
l3miss,182481358.8923077
instructions,23897992345.77846
cycles,19344178848.424614
stall_cycles,7710335145.058461
intra_coh,364754.3630769231
inter_coh,0.04923076923076923
wall_cycles,2103487277.2061539
llc_size,417186850.6584615
local_mem,17491331342.966152
remote_mem,50778502.695384614
