category,SP
runtime,156.1593644618988
l2miss,151383814.171875
r1b2,2013832131.920573
l3miss,84450306.1953125
instructions,5263844923.670573
cycles,8261363082.170573
stall_cycles,6019594622.7369795
intra_coh,6345.182291666667
inter_coh,1.9466145833333333
wall_cycles,420733909.38671875
llc_size,41941333.333333336
local_mem,8741253717.333334
remote_mem,6291541.333333333
