category,DC
runtime,106.58721375465393
l2miss,44292028.05220883
r1b2,86704.99598393575
l3miss,34676516.34538153
instructions,2890239044.829317
cycles,6086731219.439759
stall_cycles,4320362240.686747
intra_coh,26.710843373493976
inter_coh,0.1746987951807229
wall_cycles,419899042.8654618
llc_size,40102110.072289154
local_mem,2726298521.188755
remote_mem,1430342.939759036
