category,LU
runtime,100.92877888679504
l2miss,745976781.9879519
l3miss,248949320.32128513
instructions,39408818937.18875
cycles,20656794064.457832
stall_cycles,5501044329.728916
intra_coh,173976.4658634538
inter_coh,0.060240963855421686
wall_cycles,2104008206.9879518
llc_size,418564482.5702811
local_mem,11574967004.016064
remote_mem,61268264.09638554
