category,nn
runtime,89.60412406921387
l2miss,30065504.7208238
r1b2,494493.0343249428
l3miss,6093.41647597254
instructions,3264268059.9519453
cycles,8182498411.096109
stall_cycles,5506332256.377574
intra_coh,17562402.022883296
inter_coh,0.7574370709382151
wall_cycles,420498389.2036613
llc_size,41600963.075514875
local_mem,48200153.33638444
remote_mem,316732.3386727689
