category,SP
runtime,156.0682771205902
l2miss,150051133.07503235
r1b2,1986390784.3363519
l3miss,83907804.29754205
instructions,5242927674.165588
cycles,8238901025.952134
stall_cycles,6003198162.544631
intra_coh,4035.1474773609316
inter_coh,0.2535575679172057
wall-cycles,421142156.89391977
llc_occupancy,2818217.5627425616
