category,facesim
runtime,74.43683433532715
l2miss,195316036.70765027
l3miss,29172485.150273222
instructions,31213504312.2541
cycles,16004271485.874317
stall_cycles,3584421050.068306
intra_coh,3020455.9972677594
inter_coh,10.0
wall_cycles,2102741078.6202188
llc_size,412934099.23497266
local_mem,1403864382.9508197
remote_mem,9712220.327868853
