category,kmeans
runtime,33.97547388076782
l2miss,44379256.79141104
r1b2,1218507.4049079753
l3miss,4509601.429447853
instructions,3284446051.392638
cycles,2480812854.4907975
stall_cycles,1082813117.619632
intra_coh,30669426.441717792
inter_coh,0.22699386503067484
wall_cycles,420055582.9815951
llc_size,37571426.944785275
local_mem,317462816.9815951
remote_mem,539968.3926380369
