category,fluidanimate
runtime,34.91165804862976
l2miss,27091456.34502924
r1b2,38044847.421052635
LLC-load-misses,3750263.1754385964
LLC-store-misses,2152952.263157895
instructions,11936535570.783627
cycles,7012274115.51462
stall_cycles,1773937548.7777777
intra_coh,1937010.8187134503
inter_coh,0.1871345029239766
wall-cycles,420387577.122807
llc_occupancy,41903948.350877196
