category,swaptions,streamcluster
runtime,34.403780460357666,34.40964651107788
l2miss,654636.0118343196,3733249.325443787
r1b2,37563.08875739645,186314.63905325445
l3miss,32146.881656804733,3308174.698224852
instructions,9722040531.905325,344518188.0414201
cycles,4603078984.994082,423926090.74556214
stall_cycles,564542255.0236686,251192516.69230768
intra_coh,359843.62130177516,18162.597633136094
inter_coh,3089.420118343195,466.24852071005915
llc_occupancy,186085.584852071,14095771.899467455
wall-cycles,420478165.8639053,420137377.1893491
