category,sphinx
runtime,826.3901987075806
l2miss,12852677.369276218
r1b2,735589.0125553914
l3miss,1863.1907927129494
instructions,804761517.4694731
cycles,419313683.6459872
stall_cycles,63190757.650664695
intra_coh,54.05292959133432
inter_coh,409.21861152141804
llc_occupancy,5585820.241841458
wall-cycles,420462542.2235352
