category,vips
runtime,13.07551097869873
l2miss,148154073.697479
l3miss,42665308.571428575
instructions,60715641520.92437
cycles,19871383417.058823
stall_cycles,1016408010.8403361
intra_coh,1421917.142857143
inter_coh,1.0084033613445378
wall_cycles,2108132235.3781512
llc_size,334349251.7647059
local_mem,470295147.56302524
remote_mem,3161148.2352941176
