category,cfd
runtime,25.17034363746643
l2miss,44340844.75833333
r1b2,21170640.241666667
l3miss,3902544.841666667
instructions,15569082206.241667
cycles,7181076895.825
stall_cycles,691766148.2083334
intra_coh,1362333.925
inter_coh,0.15833333333333333
wall-cycles,420742069.55
llc_occupancy,40146807.46666667
