category,cfd
runtime,44.58740282058716
l2miss,24575601.435185187
r1b2,9840656.88425926
l3miss,2110066.1435185187
instructions,8629345490.01389
cycles,3924914394.8194447
stall_cycles,330778225.0231481
intra_coh,286657.38425925927
inter_coh,0.18518518518518517
wall_cycles,419875933.9490741
llc_size,35905536.0
local_mem,1308596.148148148
remote_mem,39746.37037037037
