category,raytrace
runtime,67.74558901786804
l2miss,8941180.04477612
r1b2,1081446.047761194
LLC-load-misses,655629.2626865671
LLC-store-misses,75732.73134328358
instructions,3336303362.364179
cycles,1723876753.2686567
stall_cycles,505021426.3074627
intra_coh,167393.8208955224
inter_coh,0.11343283582089553
wall-cycles,420032095.96119404
llc_occupancy,40969194.60298508
