l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy,local_mem,remote_mem
58939495,235339,7073033,3563986979,3135742983,1540172552,38647620,0,420091588,2097152,492830720,22413312
63215376,344608,7057429,3636893642,3220658343,1582379815,43615062,0,419552695,2097152,471793664,18612224
57388329,254974,7891603,3799288278,3248232754,1602712271,43716935,0,419826233,2031616,506658816,33423360
57856612,199526,7621146,3780549724,3253323508,1609623783,42394233,0,419763440,2097152,440532992,20905984
58028058,187832,7085488,3635002660,3160088393,1555802264,41531957,0,419876931,2097152,455606272,20643840
60009705,421128,7731801,3754375754,3216048451,1583317757,40403008,0,419785247,2097152,510590976,26148864
57780161,431056,7935073,3899285689,3173071870,1516193445,39066579,0,420055927,2097152,502792192,28180480
60144910,217851,7458010,3664444091,3151159911,1543127320,39576761,0,419913639,2097152,471662592,17498112
59387178,259609,7419632,3626064530,3145195857,1522445473,39384650,0,419736984,2097152,477102080,30343168
62211386,184733,7920933,4068104004,3341705076,1656012809,45053806,0,420044928,2097152,511967232,10813440
56505631,199836,7836650,3788265387,3165978691,1535975905,40308922,0,419891680,2097152,496959488,32964608
59600331,262706,7526192,3667283331,3138468267,1544860668,40770482,0,419828888,2097152,470024192,19136512
59899539,261048,7452571,3743786576,3167301487,1548614697,40015772,0,420019332,2097152,488964096,25624576
60161049,201725,7232871,3619259619,3155007179,1555999716,40240737,0,419839304,2097152,484704256,24248320
59406368,202400,7595008,3827416347,3174426258,1537471998,40738661,0,419987524,2097152,483983360,15925248
63193242,268628,8114940,3966893408,3342630506,1607770172,42667118,0,419922792,2097152,533987328,34799616
56668952,202765,7570796,3676559328,3143993859,1547735897,40509305,0,419961433,2097152,496041984,10158080
59436224,233731,7382498,3731244369,3179471651,1568333833,41707283,0,419846602,2097152,481624064,25821184
61162495,223702,6952225,3579683148,3174383744,1598145705,41990428,0,419580138,2097152,466419712,30474240
57343181,208601,7583606,3737696664,3144637684,1523152580,38573313,0,419976728,2097152,491782144,17104896
59964801,254959,7293019,3698309005,3153480571,1492537393,37059376,0,419977823,2097152,503382016,29949952
65761260,284828,7535968,3802441216,3342921888,1605042262,41763964,0,419898367,2097152,498008064,12517376
61473105,260403,7125796,3667465787,3192779071,1556894361,38529252,0,419806567,2097152,502267904,35061760
59002023,245720,7354556,3665595333,3141449460,1508839920,37670462,0,419985950,2097152,490143744,27394048
59300049,258828,7079709,3520059133,3146881007,1559691868,39562380,0,419938724,2097152,473169920,26804224
57982462,250161,7311906,3533817807,3142419913,1545437636,38876074,0,419902472,2097152,492437504,26804224
58407616,259319,7442271,3657894177,3135136577,1487517983,37323399,0,419954141,2097152,480444416,13303808
62857469,239180,7364781,3665547512,3341595822,1676107296,43664337,0,419958195,2097152,512884736,34996224
55114104,187172,7655300,3844173105,3133360339,1499785509,37686809,0,419909560,2097152,505217024,18808832
60284236,304251,7528188,3727755571,3155902690,1514871180,38570918,0,419838588,2097152,481034240,17039360
62053326,290427,7229793,3596224864,3159323085,1535320777,38429265,0,419732761,2097152,475529216,23920640
61676630,329890,7361609,3755227858,3133981761,1514552367,39800577,0,420001403,2097152,501547008,28180480
59597090,315123,7861431,3879812061,3152930705,1530649354,40291692,0,419778246,2097152,483459072,16318464
58609861,638285,8109055,3871476603,3170117929,1501255415,37613867,0,420036538,2097152,514260992,39321600
63917226,233860,7386806,3806951371,3341960970,1667546446,42964432,0,419681502,2097152,479133696,17301504
53712137,585594,8231345,3753579028,3173849245,1531901512,38902486,0,419956927,2097152,473497600,13107200
56979160,379540,7352780,3604358196,3152823686,1531723070,36879456,0,419957115,2097152,445251584,18350080
58750259,536867,7452022,3760565650,3138076400,1496777161,36613540,0,419913684,2097152,445317120,12451840
63391580,438418,7560738,3798775891,3152643799,1532235510,40667861,0,419810320,2097152,430112768,14811136
61044780,218852,7534879,3814420591,3173366541,1537921056,40774478,0,420019548,2097152,430637056,16121856
63046131,246363,7584809,3735320465,3216184163,1589034223,42883671,0,419720192,2031616,435552256,27459584
61541106,251094,7832157,3954150768,3264924937,1539105416,38530384,0,420036028,2097152,452001792,3342336
57919526,209863,7679771,3696249498,3143973485,1539293099,40461840,0,419683929,2097152,444137472,25886720
56386084,176892,7580975,3758510743,3159300732,1554962829,40214574,0,420089439,2097152,440467456,18677760
56077377,197787,7539208,3829966666,3135486543,1522272737,39040193,0,419986068,2097152,455737344,20840448
55833656,295042,7834457,3849205116,3089644858,1474148830,38010546,0,419943544,2097152,469106688,22151168
58583020,595170,7776727,3907038119,3172490025,1532901883,40285661,0,419971872,2097152,456392704,17956864
62302275,253979,7433541,3755612688,3281867348,1606760082,42411530,0,419602900,2097152,459276288,25493504
60361057,234743,7487948,3774955558,3225262151,1555151881,40295885,0,419925155,2097152,447152128,17563648
55664257,174168,7549742,3780498383,3153077525,1560052382,41880277,0,419879999,2097152,437190656,17498112
56476593,199538,7527150,3652273989,3159858862,1565535427,41212553,0,419908419,2097152,448790528,21954560
57938112,234877,7449543,3654415045,3145042322,1520163200,38888668,0,419852735,2097152,444006400,18939904
58046716,229877,7807268,3858139733,3139730703,1470241609,37532466,0,419890179,2097152,459538432,15663104
57762088,263532,7717016,3849034713,3158492515,1526785167,40093879,0,419808771,2097152,445251584,28246016
65031692,235043,7312333,3740300705,3341507289,1678614730,44702424,0,419763932,2097152,454885376,14548992
57265613,260498,7554191,3838964151,3176856706,1550250186,40479446,0,419625782,2097152,442236928,25231360
56606539,529551,8107193,3906810482,3158860335,1543702544,40730202,0,420069712,2097152,453705728,25821184
