category,FT
runtime,25.114998817443848
l2miss,471807358.5041322
r1b2,1059827652.8595041
LLC-load-misses,5872997.429752066
LLC-store-misses,1408273.26446281
instructions,17199370689.123966
cycles,8094403996.231405
stall_cycles,2378842322.710744
intra_coh,3384.9421487603304
inter_coh,0.11570247933884298
wall-cycles,422942539.107438
llc_occupancy,2695100.2975206613
