category,EP
runtime,31.002804279327393
l2miss,14603605.291390728
r1b2,63229.317880794704
LLC-load-misses,19.516556291390728
LLC-store-misses,272.9801324503311
instructions,5035775818.920529
cycles,7974338939.350993
stall_cycles,2801549176.86755
intra_coh,14.211920529801324
inter_coh,0.0
wall-cycles,420633553.2384106
llc_occupancy,18439052.715231787
