category,gcc
runtime,402.9728970527649
l2miss,14985877.366412213
r1b2,23542188.572519083
l3miss,708783.3893129771
instructions,627203055.70229
cycles,419369446.4351145
stall_cycles,152733615.35114503
intra_coh,61.70992366412214
inter_coh,326.2519083969466
llc_occupancy,28727880.659694657
wall-cycles,420410918.2442748
