category,canneal,streamcluster
runtime,111.48375344276428,111.6129047870636
l2miss,5017930.043321299,22444209.314079423
r1b2,70691.07942238267,432981.1570397112
l3miss,3052529.7003610106,18471217.483754512
instructions,223906841.97111914,1838459923.1064982
cycles,659529013.4638989,2544046416.998195
stall_cycles,518142249.5469314,1603008768.2509024
intra_coh,28671.58122743682,2284273.4097472923
inter_coh,727.4873646209386,1923.5306859205775
llc_occupancy,3893691.150595668,23724112.516787004
wall-cycles,420501038.93862814,420607630.3880866
