category,canneal
runtime,59.03153133392334
l2miss,7082036.931506849
r1b2,90060.52054794521
l3miss,3098911.434931507
instructions,320690787.00342464
cycles,811549887.3595891
stall_cycles,607833448.4828767
intra_coh,39933.67465753425
inter_coh,429.1267123287671
llc_occupancy,28185126.4794863
wall-cycles,420479870.3287671
