category,LU
runtime,58.597211599349976
l2miss,261146505.59375
r1b2,574619553.1597222
l3miss,86310757.89930555
instructions,13703762574.774305
cycles,8187282304.5625
stall_cycles,2867484949.1180553
intra_coh,230986.80902777778
inter_coh,0.0625
wall-cycles,421202508.7013889
llc_occupancy,2773447.111111111
