category,nn
runtime,69.18793249130249
l2miss,108826960.79528719
l3miss,23775.00736377025
instructions,10495960930.692194
cycles,20018073310.854195
stall_cycles,12784718749.793816
intra_coh,70883235.39027983
inter_coh,3.1958762886597936
wall_cycles,2103459896.701031
llc_size,390679496.20029455
local_mem,309853049.7790869
remote_mem,1294311.8703976437
